id,name,alias,collegeDataUrl,collegeDataId
2627,Princeton University,,Princeton-University,111.0
2155,Harvard University,,Harvard-college,444.0
2178,Massachusetts Institute of Technology,MIT,Massachusetts-Institute-of-Technology,186.0
1426,Yale University,,Yale-University,244.0
1305,Stanford University,,Stanford-University,781.0
1774,University of Chicago,UChicago,University-of-Chicago,327.0
3378,University of Pennsylvania,UPenn,University-of-Pennsylvania,67.0
1131,California Institute of Technology,CalTech Cal Tech,California-Institute-of-Technology,706.0
2920,Duke University,,Duke-University,1026.0
2077,Johns Hopkins University,JHU,Johns-Hopkins-University,1509.0
1739,Northwestern University,,Northwestern-University,1803.0
2573,Dartmouth College,,Dartmouth-College,403.0
3401,Brown University,,Brown-University,163.0
3535,Vanderbilt University,,Vanderbilt-University,1562.0
2520,Washington University in St. Louis,WashU Washington University in St Louis Washington University in Saint Louis,Washington-University-in-St-Louis,1720.0
2711,Cornell University,,Cornell-University,787.0
3604,Rice University,,Rice-University,731.0
1840,University of Notre Dame,Notre Dame,University-of-Notre-Dame,1774.0
1315,University of California--Los Angeles,UCLA University of California Los Angeles,University-of-California-Los-Angeles,1093.0
1564,Emory University,,Emory-University,1039.0
1312,University of California--Berkeley,UC Berkeley Cal Berkeley University of California Berkeley,University-of-California-Berkeley,1090.0
1445,Georgetown University,,Georgetown-University,1182.0
9092,University of Michigan--Ann Arbor,UM University of Michigan Ann Arbor,University-of-Michigan,379.0
3242,Carnegie Mellon University,CMU,Carnegie-Mellon-University,204.0
6968,University of Virginia,UVA,University-of-Virginia,1571.0
1328,University of Southern California,USC Southern Cal,University-of-Southern-California,1138.0
2785,New York University,NYU,New-York-University,436.0
2219,Tufts University,,Tufts-University,155.0
1320,University of California--Santa Barbara,UCSB UC Santa Barbara University of California Santa Barbara,University-of-California-Santa-Barbara,635.0
1535,University of Florida,,University-of-Florida,943.0
2974,University of North Carolina at Chapel Hill,UNC University of North Carolina Chapel Hill,University-of-North-Carolina-at-Chapel-Hill,1600.0
2978,Wake Forest University,,Wake-Forest-University,1575.0
1317,University of California--San Diego,UCSD University of California San Diego,University-of-California-San-Diego,1091.0
2894,University of Rochester,,University-of-Rochester,117.0
2128,Boston College,BC,Boston-College,144.0
1314,University of California--Irvine,UC Irvine UCI University of California Irvine,University-of-California-Irvine,730.0
1569,Georgia Institute of Technology,Georgia Tech,Georgia-Institute-of-Technology,1478.0
1313,University of California--Davis,UC Davis University of California Davis,University-of-California-Davis,650.0
3658,University of Texas at Austin,UT Austin University of Texas Austin,University-of-Texas-at-Austin,788.0
3705,William & Mary,William & Mary,College-of-william-and-mary,1593.0
2130,Boston University,BU,Boston-University,146.0
2133,Brandeis University,,Brandeis-University,453.0
3024,Case Western Reserve University,,Case-Western-Reserve-University,966.0
2029,Tulane University,,Tulane-University,1555.0
3895,University of Wisconsin--Madison,University of Wisconsin Madison,University-of-Wisconsin-Madison,1703.0
1775,University of Illinois--Urbana-Champaign,University of Illinois Urbana Champaign,University-of-Illinois-at-Urbana-Champaign,982
1598,University of Georgia,UGA,University-of-Georgia,975.0
3289,Lehigh University,,Lehigh-University,794.0
2199,Northeastern University,,Northeastern-University,456.0
6883,The Ohio State University,OSU  Ohio State University Columbus,ohio-state-university,1807.0
1264,Pepperdine University,,Pepperdine-University,1121.0
1825,Purdue University,Purdue University West Lafayette Purdue University West Lafayette,Purdue-University,1753.0
3388,Villanova University,,Villanova-University,185.0
1489,Florida State University,FSU,Florida-State-University,817.0
2803,Rensselaer Polytechnic Institute,RPI,Rensselaer-Polytechnic-Institute,49.0
1326,Santa Clara University,,Santa-Clara-University,776.0
1536,University of Miami,,University-of-Miami,1047.0
2882,Syracuse University,,Syracuse-University,130.0
2103,University of Maryland,UMD UMCP University of Maryland College Park,University-of-Maryland,1526.0
3379,University of Pittsburgh,Pitt,University-of-Pittsburgh,85.0
3798,University of Washington,,University-of-Washington,764.0
1444,George Washington University,GW GWU,George-Washington-University,1537.0
6965,The Pennsylvania State University,Penn State Pennsylvania State University University Park,Penn-state-university-park,59.0
6964,Rutgers University--New Brunswick,"Rutgers University Rutgers, the State University of New Jersey New Brunswick",rutgers-the-state-university-of-new-jersey,1441
29013,University of Connecticut,UConn,University-of-Connecticut,401.0
2233,Worcester Polytechnic Institute,WPI,Worcester-Polytechnic-Institute,234.0
2722,Fordham University,,Fordham-University,1148.0
1809,Indiana University--Bloomington,IU Bloomington Indiana University Bloomington,Indiana-University-Bloomington,815.0
3613,Southern Methodist University,SMU,Southern-Methodist-University,1147.0
10366,Texas A&M University,Texas A & M University--College Station Texas A and M University--College Station Texas A&M University College Station,Texas-a-m-university,759
2221,University of Massachusetts--Amherst,UMass Amherst University of Massachusetts Amherst,University-of-Massachusetts-Amherst,193.0
3969,"University of Minnesota, Twin Cities",University of Minnesota Twin Cities,University-of-Minnesota-Twin-Cities,991.0
2903,Yeshiva University,,Yeshiva-University,245.0
6967,Baylor University,,Baylor-University,1074.0
3425,Clemson University,,Clemson-University,1463.0
11649,Loyola Marymount University,LMU,Loyola-Marymount-University,753.0
3754,Virginia Tech,,,
1434,American University,,American-University,475.0
3670,Brigham Young University--Provo,BYU Provo Brigham Young University Provo,,
3778,Gonzaga University,,Gonzaga-University,732.0
2972,North Carolina State University,NC State North Carolina State University Raleigh,North-Carolina-State-University,1598.0
2836,Binghamton University--SUNY,Binghamton University SUNY Binghamton Binghamton University SUNY,,
1348,Colorado School of Mines,,Colorado-School-of-Mines,634.0
2927,Elon University,,Elon-University,1202.0
1448,Howard University,HU,Howard-University,1024.0
3863,Marquette University,,Marquette-University,1768.0
2290,Michigan State University,MSU,Michigan-State-University,1771.0
2639,Stevens Institute of Technology,,Stevens-Institute-of-Technology,71.0
3636,Texas Christian University,TCU,Texas-Christian-University,688.0
1316,University of California--Riverside,UC Riverside University of California Riverside,University-of-California-Riverside,910.0
1892,University of Iowa,,University-of-Iowa,1767.0
2838,Stony Brook University--SUNY,Stony Brook SUNY Stony Brook Stony Brook University SUNY,Stony-Brook-University,86
9554,University at Buffalo--SUNY,SUNY Buffalo University at Buffalo SUNY,university-at-buffalo,84
4127,University of California--Merced,,University-of-California-Merced,2046.0
1431,University of Delaware,,University-of-Delaware,1669.0
1371,University of Denver,DU,University-of-Denver,693.0
10395,University of San Diego,,University-of-San-Diego,866.0
1009,Auburn University,AU,Auburn-University,488.0
1370,University of Colorado Boulder,CU Boulder University of Colorado Boulder,University-of-Colorado-Boulder,1207.0
3223,University of Oregon,,University-of-Oregon,755.0
3675,University of Utah,,University-of-Utah,707.0
2139,Clark University,,Clark-University,231.0
2542,Creighton University,,Creighton-University,660.0
3256,Drexel University,,Drexel-University,407.0
1710,Loyola University Chicago,,Loyola-University-Chicago,809.0
7104,Miami University--Oxford,Miami University Oxford Miami University Oxford,,
2621,New Jersey Institute of Technology,NJIT,New-Jersey-Institute-of-Technology,1198.0
2506,Saint Louis University,St Louis University Saint Louis University,Saint-Louis-University,1799.0
3371,Temple University,,Temple-University,137.0
1083,University of Arizona,,University-of-Arizona,742.0
1321,University of California--Santa Cruz,UC Santa Cruz University of California Santa Cruz,University-of-California-Santa-Cruz,916.0
1776,University of Illinois--Chicago,UIC University of Illinois Chicago,,
1325,University of San Francisco,USF,University-of-San-Francisco,1134.0
1537,University of South Florida,,University-of-South-Florida,1647.0
3530,"University of Tennessee, Knoxville",,,
1081,Arizona State University,ASU,Arizona-State-University,1096.0
2806,Rochester Institute of Technology,RIT,Rochester-Institute-of-Technology,108.0
2851,SUNY College of Environmental Science and Forestry,SUNY ESF,,
3448,University of South Carolina,USC,University-of-South-Carolina,1666.0
3696,University of Vermont,UVM,University-of-Vermont,183.0
1164,Chapman University,,Chapman-University,661.0
1691,Illinois Institute of Technology,Illinois Tech IIT,Illinois-Institute-of-Technology,1004.0
1869,Iowa State University of Science and Technology,,,
1948,University of Kansas,KU,University-of-Kansas,940.0
2516,University of Missouri,Mizzou,,
2699,Clarkson University,,Clarkson-University,232.0
1671,DePaul University,,DePaul-University,350.0
1443,Gallaudet University,,Gallaudet-University,1044.0
2631,Rutgers University--Newark,"Rutgers University Rutgers, the State University of New Jersey Newark",,
3790,Seattle University,SU,Seattle-University,772.0
2632,Seton Hall University,,Seton-Hall-University,48.0
