id,name,alias
2627,Princeton University,
2155,Harvard University,
2178,Massachusetts Institute of Technology,MIT
1426,Yale University,
1305,Stanford University,
1774,University of Chicago,UChicago
3378,University of Pennsylvania,UPenn
1131,California Institute of Technology,CalTech Cal Tech
2920,Duke University,
2077,Johns Hopkins University,JHU
1739,Northwestern University,
2573,Dartmouth College,
3401,Brown University,
3535,Vanderbilt University,
2520,Washington University in St. Louis,WashU Washington University in St Louis Washington University in Saint Louis
2711,Cornell University,
3604,Rice University,
1840,University of Notre Dame,Notre Dame
1315,University of California--Los Angeles,UCLA University of California Los Angeles
1564,Emory University,
1312,University of California--Berkeley,UC Berkeley Cal Berkeley University of California Berkeley
1445,Georgetown University,
9092,University of Michigan--Ann Arbor,UM University of Michigan Ann Arbor
3242,Carnegie Mellon University,CMU
6968,University of Virginia,UVA
1328,University of Southern California,USC Southern Cal
2785,New York University,NYU
2219,Tufts University,
1320,University of California--Santa Barbara,UCSB UC Santa Barbara University of California Santa Barbara
1535,University of Florida,
2974,University of North Carolina at Chapel Hill,UNC University of North Carolina Chapel Hill
2978,Wake Forest University,
1317,University of California--San Diego,UCSD University of California San Diego
2894,University of Rochester,
2128,Boston College,BC
1314,University of California--Irvine,UC Irvine UCI University of California Irvine
1569,Georgia Institute of Technology,Georgia Tech
1313,University of California--Davis,UC Davis University of California Davis
3658,University of Texas at Austin,UT Austin University of Texas Austin
3705,William & Mary,William & Mary
2130,Boston University,BU
2133,Brandeis University,
3024,Case Western Reserve University,
2029,Tulane University,
3895,University of Wisconsin--Madison,University of Wisconsin Madison
1775,University of Illinois--Urbana-Champaign,University of Illinois Urbana Champaign
1598,University of Georgia,UGA
3289,Lehigh University,
2199,Northeastern University,
6883,The Ohio State University,OSU  Ohio State University Columbus
1264,Pepperdine University,
1825,Purdue University,Purdue University West Lafayette Purdue University West Lafayette
3388,Villanova University,
1489,Florida State University,FSU
2803,Rensselaer Polytechnic Institute,RPI
1326,Santa Clara University,
1536,University of Miami,
2882,Syracuse University,
2103,University of Maryland,UMD UMCP University of Maryland College Park
3379,University of Pittsburgh,Pitt
3798,University of Washington,
1444,George Washington University,GW GWU
6965,The Pennsylvania State University,Penn State Pennsylvania State University University Park
6964,Rutgers University--New Brunswick,"Rutgers University Rutgers, the State University of New Jersey New Brunswick"
29013,University of Connecticut,UConn
2233,Worcester Polytechnic Institute,WPI
2722,Fordham University,
1809,Indiana University--Bloomington,IU Bloomington Indiana University Bloomington
3613,Southern Methodist University,SMU
10366,Texas A&M University,Texas A & M University--College Station Texas A and M University--College Station Texas A&M University College Station
2221,University of Massachusetts--Amherst,UMass Amherst University of Massachusetts Amherst
3969,"University of Minnesota, Twin Cities",University of Minnesota Twin Cities
2903,Yeshiva University,
6967,Baylor University,
3425,Clemson University,
11649,Loyola Marymount University,LMU
3754,Virginia Tech,
1434,American University,
3670,Brigham Young University--Provo,BYU Provo Brigham Young University Provo
3778,Gonzaga University,
2972,North Carolina State University,NC State North Carolina State University Raleigh
2836,Binghamton University--SUNY,Binghamton University SUNY Binghamton Binghamton University SUNY
1348,Colorado School of Mines,
2927,Elon University,
1448,Howard University,HU
3863,Marquette University,
2290,Michigan State University,MSU
2639,Stevens Institute of Technology,
3636,Texas Christian University,TCU
1316,University of California--Riverside,UC Riverside University of California Riverside
1892,University of Iowa,
2838,Stony Brook University--SUNY,Stony Brook SUNY Stony Brook Stony Brook University SUNY
9554,University at Buffalo--SUNY,SUNY Buffalo University at Buffalo SUNY
4127,University of California--Merced,
1431,University of Delaware,
1371,University of Denver,DU
10395,University of San Diego,
1009,Auburn University,AU
1370,University of Colorado Boulder,CU Boulder University of Colorado Boulder
3223,University of Oregon,
3675,University of Utah,
2139,Clark University,
2542,Creighton University,
3256,Drexel University,
1710,Loyola University Chicago,
7104,Miami University--Oxford,Miami University Oxford Miami University Oxford
2621,New Jersey Institute of Technology,NJIT
2506,Saint Louis University,St Louis University Saint Louis University
3371,Temple University,
1083,University of Arizona,
1321,University of California--Santa Cruz,UC Santa Cruz University of California Santa Cruz
1776,University of Illinois--Chicago,UIC University of Illinois Chicago
1325,University of San Francisco,USF
1537,University of South Florida,
3530,"University of Tennessee, Knoxville",
1081,Arizona State University,ASU
2806,Rochester Institute of Technology,RIT
2851,SUNY College of Environmental Science and Forestry,SUNY ESF
3448,University of South Carolina,USC
3696,University of Vermont,UVM
1164,Chapman University,
1691,Illinois Institute of Technology,Illinois Tech IIT
1869,Iowa State University of Science and Technology,
1948,University of Kansas,KU
2516,University of Missouri,Mizzou
2699,Clarkson University,
1671,DePaul University,
1443,Gallaudet University,
2631,Rutgers University--Newark,"Rutgers University Rutgers, the State University of New Jersey Newark"
3790,Seattle University,SU
2632,Seton Hall University,
3127,University of Dayton,
1989,University of Kentucky,
3184,University of Oklahoma,
1437,The Catholic University of America,CUA
1860,Drake University,
20662,The New School,
1036,Samford University,
2208,Simmons University,
1216,University of La Verne,
2565,University of Nebraska -- Lincoln,University of Nebraska Lincoln
2589,University of New Hampshire,UNH
2345,University of St. Thomas (MN),University of St Thomas University of Saint Thomas
9741,University of Texas at Dallas,University of Texas Dallas
1329,University of the Pacific,
3185,University of Tulsa,
1350,Colorado State University,
2688,CUNY--City College,CUNY City College CUNY City College
3258,Duquesne University,
3749,George Mason University,GMU
2292,Michigan Technological University,
1402,Quinnipiac University,
4741,Rutgers University--Camden,"Rutgers University Rutgers, the State University of New Jersey Camden"
1151,San Diego State University,SDSU
12393,Thomas Jefferson University,
1051,University of Alabama,
1052,University of Alabama at Birmingham,UAB University of Alabama Birmingham
3954,University of Central Florida,UCF
3125,University of Cincinnati,
2440,University of Mississippi,Ole Miss
3479,Belmont University,
9635,Florida International University,FIU
2732,Hofstra University,
1928,Kansas State University,
1580,Mercer University,
3210,Oregon State University,
1108,University of Arkansas,
1610,University of Hawaii at Manoa,UH Manoa University of Hawaii Manoa
2105,University of Maryland--Baltimore County,UMBC University of Maryland Baltimore County
3414,University of Rhode Island,URI
2666,Adelphi University,
3244,Chatham University,
2010,Louisiana State University--Baton Rouge,LSU Baton Rouge Louisiana State University Baton Rouge Louisiana State University Baton Rouge
2823,St. John's University (NY),St John's University Saint John's University St Johns University Saint Johns University St. Johns University
2835,University at Albany--SUNY,SUNY Albany University at Albany SUNY
1842,Valparaiso University,Valpo
3735,Virginia Commonwealth University,VCU
2517,Missouri University of Science and Technology,Missouri University of Science and Technology
2617,Montclair State University,
3100,Ohio University,OU
2609,Rowan University,
3652,University of Houston,
1626,University of Idaho,
2161,University of Massachusetts--Lowell,UMass University of Massachusetts Lowell
3800,Washington State University,
3170,Oklahoma State University,OSU
3212,Pacific University,
3359,Robert Morris University,
2821,St. John Fisher College,St John Fisher College Saint John Fisher College
3528,Union University,
2323,University of Detroit Mercy,
1999,University of Louisville,
2984,University of North Carolina--Wilmington,UNC University of North Carolina Wilmington
1409,University of Saint Joseph,St Joseph College Saint Joseph College
1122,Biola University,
1813,Indiana University-Purdue University--Indianapolis,IUPUI Indiana University-Purdue University Indianapolis Indiana University Purdue University Indianapolis
2423,Mississippi State University,
2099,Towson University,
10313,University of New Mexico,
3932,University of Wyoming,
1786,Ball State University,
1954,Bellarmine University,
9058,Bethel University (MN),
1480,Florida A&M University,Florida A & M Florida A and M FAM
1469,Florida Institute of Technology,Florida Tech
3714,Hampton University,HU
1692,Illinois State University,
2016,Loyola University New Orleans,
2482,Maryville University of St. Louis,Maryville University of St Louis Maryville University of Saint Louis
3247,Misericordia University,
1403,Sacred Heart University,
1147,California State University--Fresno,Cal State University Fresno California State University Fresno
2923,East Carolina University,ECU
3194,George Fox University,
3051,Kent State University,
3486,Lipscomb University,
1509,Nova Southeastern University,
2791,Pace University,
3644,Texas Tech University,
10142,Touro University,
1422,University of Hartford,
2053,University of Maine,UMaine
2226,Western New England University,
3313,Widener University,
3394,Wilkes University,
3266,Gannon University,
3276,Immaculata University,
2657,New Mexico State University,NMSU
1363,Regis University,
2810,Russell Sage College,
3788,Seattle Pacific University,
2342,St. Catherine University,St Catherine University Saint Catherine University
6740,University of Colorado Denver,UC Denver University of Colorado Denver
2222,University of Massachusetts--Boston,UMass University of Massachusetts Boston
2210,University of Massachusetts--Dartmouth,UMass University of Massachusetts Dartmouth
2568,"University of Nevada, Reno",University of Nevada Reno
2975,University of North Carolina--Charlotte,UNC University of North Carolina Charlotte
2243,Central Michigan University,
1852,Clarke University,
2343,The College of St. Scholastica,College of St Scholastica College of Saint Scholastica
3848,Edgewood College,
1574,Georgia State University,
3166,Oklahoma City University,
1804,University of Indianapolis,
2519,University of Missouri--St. Louis,University of Missouri St. Louis
2976,University of North Carolina at Greensboro,UNC University of North Carolina Greensboro
10300,University of South Dakota,
3018,Bowling Green State University,BGSU
10311,Harding University,
2160,Lesley University,
3502,Lincoln Memorial University,
3606,Sam Houston State University,
3509,University of Memphis,
2518,University of Missouri--Kansas City,UMKC University of Missouri Kansas City
2569,"University of Nevada, Las Vegas",UNLV University of Nevada Las Vegas
2050,University of New England,UNE
3005,University of North Dakota,
1664,University of St. Francis,University of St Francis University of Saint Francis
3677,Utah State University,
2329,Wayne State University,
3827,West Virginia University,WVU
1117,Azusa Pacific University,
1903,Baker University,
1428,Delaware State University,
3938,Inter American University of Puerto Rico--San German,Inter American University of Puerto Rico San German Inter American University of Puerto Rico San German
2532,Montana State University,MSU
3728,Old Dominion University,ODU
3737,Shenandoah University,
1758,Southern Illinois University--Carbondale,Southern Illinois University Carbondale Southern Illinois University Carbondale
1055,University of Alabama at Huntsville,University of Alabama Huntsville
3045,University of Findlay,
2554,University of Nebraska Omaha,University of Nebraska Omaha
9841,University of North Florida,
3578,University of the Incarnate Word,
2330,Western Michigan University,
2913,Campbell University,
3842,Concordia University Wisconsin,
1481,Florida Atlantic University,
2929,Gardner-Webb University,Gardner Webb Gardner Webb University
2008,Louisiana Tech University,
2905,North Carolina Agricultural and Technical State University,North Carolina A & T State University North Carolina A and T State University
9265,North Dakota State University,
30913,Regent University,
3523,Tennessee Tech University,
2536,University of Montana,UMT
3594,University of North Texas,
3560,Dallas Baptist University,
3487,East Tennessee State University,ETSU
667002,Long Island University,
3815,Marshall University,
3510,Middle Tennessee State University,
1082,Northern Arizona University,NAU
3216,Portland State University,PSU
3471,South Dakota State University,
29020,University of Hawaii at Hilo,UH Hilo University of Hawaii Hilo
