id,rankingType,name,urlName,region,fundingType,rank,location,tuition,totalUndergradEnrollment,costAfterAid,percentReceivingAid,acceptanceRate,hsGpa,engineeringRepScore,businessRepScore,computerScienceRepScore,nursingRepScore,sat25,sat75,act25,act75
2627,national-universities,Princeton University,princeton-university,,private,1,"Princeton, NJ",56010,4773,23572.0,62,6,3.9,4.1,,4.5,,1450,1570,32,35
2155,national-universities,Harvard University,harvard-university,,private,2,"Cambridge, MA",55587,5222,20023.0,62,5,3.9,3.6,,4.3,,1460,1580,33,35
2178,national-universities,Massachusetts Institute of Technology,massachusetts-institute-of-technology,,private,2,"Cambridge, MA",55878,4361,19422.0,60,7,,4.8,4.7,4.9,,1510,1580,34,36
1426,national-universities,Yale University,yale-university,,private,5,"New Haven, CT",59950,4703,18826.0,57,7,,3.3,,4.1,,1460,1580,33,35
1305,national-universities,Stanford University,stanford-university,,private,6,"Stanford, CA",56169,6366,25218.0,51,5,3.9,4.7,,4.9,,1420,1570,31,35
1774,national-universities,University of Chicago,university-of-chicago,,private,6,"Chicago, IL",60963,6989,26094.0,39,7,,,,3.9,,1500,1570,34,35
3378,national-universities,University of Pennsylvania,university-of-pennsylvania,,private,8,"Philadelphia, PA",61710,9872,26857.0,44,9,3.9,3.7,4.8,4.2,4.6,1460,1570,33,35
1131,national-universities,California Institute of Technology,california-institute-of-technology,,private,9,"Pasadena, CA",58680,901,27912.0,51,7,,4.6,,4.5,,1530,1580,35,36
2920,national-universities,Duke University,duke-university,,private,9,"Durham, NC",60489,6717,26059.0,41,8,,3.6,,4.0,4.5,1470,1570,34,35
2077,national-universities,Johns Hopkins University,jhu,,private,9,"Baltimore, MD",58720,6331,28689.0,54,9,3.9,4.0,3.7,4.1,,1480,1570,34,35
1739,national-universities,Northwestern University,northwestern-university,,private,9,"Evanston, IL",60984,8194,28608.0,45,9,,3.9,,4.0,,1430,1550,33,35
2573,national-universities,Dartmouth College,dartmouth-college,,private,13,"Hanover, NH",60870,4170,30221.0,50,9,,3.1,,3.7,,1440,1560,32,35
3401,national-universities,Brown University,brown-university,,private,14,"Providence, RI",62404,6792,27850.0,44,8,,3.4,,4.0,,1440,1560,33,35
3535,national-universities,Vanderbilt University,vanderbilt,,private,14,"Nashville, TN",56966,7057,23036.0,48,12,3.8,3.4,,3.6,,1470,1570,33,35
2520,national-universities,Washington University in St. Louis,washington-university-in-st-louis,,private,14,"St. Louis, MO",58866,7653,26033.0,41,16,,3.2,4.0,3.7,,1480,1560,33,35
2711,national-universities,Cornell University,cornell-university,,private,17,"Ithaca, NY",61015,14743,31185.0,47,11,,4.3,4.2,4.6,,1400,1540,32,35
3604,national-universities,Rice University,rice,,private,17,"Houston, TX",52895,4076,20513.0,44,11,,3.8,,3.9,,1460,1570,34,36
1840,national-universities,University of Notre Dame,university-of-notre-dame,,private,19,"Notre Dame, IN",58843,8874,31318.0,47,19,,3.4,4.1,3.4,,1400,1550,32,35
1315,national-universities,University of California--Los Angeles,university-of-california-los-angeles,,public,20,"Los Angeles, CA",43022,31636,47919.0,11,14,3.9,3.9,,4.4,4.2,1290,1520,29,34
1564,national-universities,Emory University,emory-university,,private,21,"Atlanta, GA",55468,7010,28434.0,46,19,3.8,,4.0,3.2,4.4,1380,1530,31,34
1312,national-universities,University of California--Berkeley,university-of-california-berkeley,,public,22,"Berkeley, CA",44115,30980,59567.0,10,18,3.9,4.7,4.6,4.9,,1290,1530,27,35
1445,national-universities,Georgetown University,georgetown-university,,private,23,"Washington, DC",59957,7357,41735.0,35,17,,,4.0,3.2,,1380,1550,31,35
9092,national-universities,University of Michigan--Ann Arbor,university-of-michigan-ann-arbor,,public,23,"Ann Arbor, MI",53232,31329,30302.0,30,26,3.8,4.4,4.5,4.3,4.4,1340,1560,31,34
3242,national-universities,Carnegie Mellon University,carnegie-mellon-university,,private,25,"Pittsburgh, PA",58924,7073,32309.0,39,17,3.8,4.4,4.3,4.9,,1460,1560,33,35
6968,national-universities,University of Virginia,uva,,public,25,"Charlottesville, VA",53666,17311,33031.0,37,23,3.9,3.4,4.2,3.8,4.2,1320,1510,30,34
1328,national-universities,University of Southern California,university-of-southern-california,,private,27,"Los Angeles, CA",60275,19606,37232.0,34,16,3.8,3.5,4.1,4.0,,1340,1530,30,34
2785,national-universities,New York University,nyu,,private,28,"New York, NY",56500,27444,45489.0,44,21,3.7,2.9,4.4,3.8,4.3,1370,1540,31,34
2219,national-universities,Tufts University,tufts-university,,private,28,"Medford, MA",63000,6114,30085.0,35,16,,3.0,,3.3,,1380,1530,32,35
1320,national-universities,University of California--Santa Barbara,university-of-california-santa-barbara,,public,28,"Santa Barbara, CA",44196,23196,53653.0,5,37,3.9,3.5,,3.7,,1230,1480,26,33
1535,national-universities,University of Florida,university-of-florida,,public,28,"Gainesville, FL",28658,34931,34092.0,13,31,3.9,3.5,3.8,3.7,4.0,1290,1460,29,33
2974,national-universities,University of North Carolina at Chapel Hill,unc,,public,28,"Chapel Hill, NC",36776,19399,19738.0,35,24,,2.9,4.2,3.8,4.4,1270,1470,27,33
2978,national-universities,Wake Forest University,wake-forest,,private,28,"Winston-Salem, NC",59770,5441,26211.0,26,32,,,3.5,2.7,,1290,1470,30,33
1317,national-universities,University of California--San Diego,university-of-california-san-diego,,public,34,"La Jolla, CA",44487,31842,48977.0,5,38,3.9,3.8,3.4,4.2,,1260,1480,26,33
2894,national-universities,University of Rochester,university-of-rochester,,private,34,"Rochester, NY",59344,6521,30792.0,52,35,3.8,2.8,3.6,3.2,4.1,1310,1500,30,34
2128,national-universities,Boston College,boston-college,,private,36,"Chestnut Hill, MA",61706,9445,31900.0,36,26,,,3.7,3.1,4.1,1330,1500,31,34
1314,national-universities,University of California--Irvine,university-of-california-irvine,,public,36,"Irvine, CA",43709,29638,50976.0,4,30,,3.3,3.7,3.9,3.9,1215,1450,,
1569,national-universities,Georgia Institute of Technology,georgia-institute-of-technology,,public,38,"Atlanta, GA",33794,16561,37149.0,26,21,3.9,4.6,3.9,4.6,,1370,1530,31,35
1313,national-universities,University of California--Davis,university-of-california-davis,,public,38,"Davis, CA",44408,31162,52885.0,5,46,,3.6,,3.8,,1140,1400,25,31
3658,national-universities,University of Texas at Austin,university-of-texas-at-austin,,public,38,"Austin, TX",40032,40048,49870.0,5,32,,4.2,4.4,4.4,4.0,1210,1470,26,33
3705,national-universities,William & Mary,william-and-mary,,public,38,"Williamsburg, VA",46467,6236,48210.0,27,42,3.9,,3.4,3.2,,1300,1490,30,34
2130,national-universities,Boston University,boston-university,,private,42,"Boston, MA",59816,16872,33183.0,43,20,3.8,3.1,3.4,3.4,,1310,1500,30,34
2133,national-universities,Brandeis University,brandeis-university,,private,42,"Waltham, MA",60391,3493,32934.0,42,34,3.8,,3.1,2.8,,1320,1510,31,33
3024,national-universities,Case Western Reserve University,case-western-reserve-university,,private,42,"Cleveland, OH",54020,5433,35903.0,46,30,3.8,3.2,3.6,3.3,4.2,1340,1520,31,35
2029,national-universities,Tulane University,tulane-university,,private,42,"New Orleans, LA",60814,7700,39063.0,28,11,3.6,2.4,3.5,2.7,,1340,1500,30,33
3895,national-universities,University of Wisconsin--Madison,university-of-wisconsin,,public,42,"Madison, WI",38608,33585,30816.0,16,57,3.8,3.9,3.9,4.1,4.1,1260,1460,27,32
1775,national-universities,University of Illinois--Urbana-Champaign,university-of-illinois-urbanachampaign,,public,47,"Champaign, IL",34316,33683,36978.0,8,63,,4.4,4.0,4.6,,1210,1470,27,33
1598,national-universities,University of Georgia,university-of-georgia,,public,48,"Athens, GA",31120,29765,32593.0,14,48,3.9,2.4,3.8,3.0,,1220,1400,27,32
3289,national-universities,Lehigh University,lehigh-university,,private,49,"Bethlehem, PA",57470,5203,29364.0,42,50,,3.2,3.1,3.0,,1260,1433,29,33
2199,national-universities,Northeastern University,northeastern-university,,private,49,"Boston, MA",57592,15156,42132.0,31,20,,3.2,3.3,3.6,3.4,1410,1540,33,35
6883,national-universities,The Ohio State University,ohio-state,,public,49,"Columbus, OH",35019,46984,41630.0,10,68,,3.6,4.0,3.7,4.2,1210,1430,26,32
1264,national-universities,Pepperdine University,pepperdine-university,,private,49,"Malibu, CA",59702,3459,37161.0,54,42,3.7,,3.3,,,1200,1410,26,31
1825,national-universities,Purdue University,purdue-university-west-lafayette,,public,49,"West Lafayette, IN",28794,34920,29624.0,26,67,3.7,4.2,3.7,4.1,3.4,1190,1430,25,33
